TOOL NAME,W/O,SIZE & THREAD,MATERIAL,MODEL,MATERIAL NO,PART NUMBER,QUANTITY,LOCATION
WL SET SLIP,WO25-003-P30-009,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-010,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-014,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-016,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-012,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-020,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-019,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-013,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-005,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-008,"9-5\8"" ",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-017,"9-5/8""",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-002,"9-5/8""",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-018,"9-5/8""",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-011,"9-5/8""",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-006,"9-5/8""",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
WL SET SLIP,WO25-003-P30-001,"9-5/8""",L80,PFT,N/A,702T100001015-REV-A,1,W/EXT
K1 MST,WO24-001-P023-001,"9-5\8"" EUE",L80,PFT,N/A,715T120001008-REV-A,1,W/EXT
K1 MST,WO24-001-P023-001,"9-5\8"" EUE",L80,PFT,N/A,715T120001008-REV-A,1,W/EXT
K1 MST,WO25-004-P036-001,"9-5\8"" EUE",L80,PFT,N/A,715T120001008-REV-A,1,W/EXT
K1 MST,WO25-004-P036-002,"9-5\8"" EUE",L80,PFT,N/A,715T120001008-REV-A,1,W/EXT
WL ADAPTER,WO25-003-P055-002,"9-5/8"" VAMTOP",L80,PFT,N/A,712T000001001-REV-A,1,W/EXT
WL ADAPTER,WO25-003-P055-001,"9-5/8"" VAMTOP",L80,PFT,N/A,712T000001001-REV-A,1,W/EXT
PFT CR VALVE 001,WO24-001-P047-008,"9-5/8""",L80,PFT,N/A,702W000001018-REV-A,1,W/EXT
PFT CR VALVE 002,WO24-001-P047-007,"9-5/8""",L80,PFT,N/A,702W000001018-REV-A,1,W/EXT
PFT CR VALVE 003,WO24-001-P047-010,"9-5/8""",L80,PFT,N/A,702W000001018-REV-A,1,W/EXT
PFT BP SUB,WO24-001-P051-005,"9-5/8""",L80,PFT,N/A,706P100001003-REV-A,1,W/EXT
PFT COLLECT 001,WO24-001-P032-015,"9-5/8""",L80,PFT,N/A,702W000001019-REV-A,1,W/EXT
PFT COLLECT 002,WO24-001-P032-012,"9-5/8""",L80,PFT,N/A,702W000001019-REV-A,1,W/EXT
